cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
BEAB04B5-21EB-ED11-8849-0022489FD623,United States of America,
621FE4B4-21EB-ED11-8849-0022489FD80B,United States of America,
763FBCB0-21EB-ED11-8849-0022489FD9DD,United States of America,
6E1EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
401A2EA9-22EB-ED11-8849-000D3A680C8A,United States of America,
F9FD9FA8-22EB-ED11-8849-0022489FC0D4,United States of America,
FEAA04B5-21EB-ED11-8849-0022489FD623,United States of America,
B5D4EBAE-21EB-ED11-8849-0022489FD80B,United States of America,
CE8AD5B6-22EB-ED11-8849-0022489FD9A7,United States of America,
0CE7CAB0-22EB-ED11-8849-0022489FDDEE,United States of America,
91A559AF-21EB-ED11-8848-000D3AB11D4F,United States of America,
D18710AB-22EB-ED11-8848-000D3AB11D4F,United States of America,
1B06AFB4-21EB-ED11-8849-000D3ADA93B4,United States of America,
5BFEBAB8-21EB-ED11-8849-0022489FD0DC,United States of America,
DF16D6B0-22EB-ED11-8849-0022489FD9A7,United States of America,
2BF3EEB2-22EB-ED11-8848-0022489FDB1D,United States of America,
0A827EB1-22EB-ED11-8849-0022489FDE79,United States of America,
C5837EB1-22EB-ED11-8849-0022489FDE79,United States of America,
8BD208B1-22EB-ED11-8848-000D3AB11D4F,United States of America,
A820E4B4-21EB-ED11-8849-0022489FD80B,United States of America,
EA5C86B0-22EB-ED11-8849-0022489FDDCE,United States of America,
481EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
4E1EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
C71EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
3CE9B0BA-21EB-ED11-8849-000D3ADA93B4,United States of America,
CD7D2AAE-22EB-ED11-8849-0022489D9FCF,United States of America,
BB1EE4B4-21EB-ED11-8849-0022489FD80B,United States of America,
24C540B1-21EB-ED11-8849-0022489FDDCE,United States of America,
1C382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
97D208B1-22EB-ED11-8848-000D3AB11D4F,United States of America,
F2FD9FA8-22EB-ED11-8849-0022489FC0D4,United States of America,
8820E4B4-21EB-ED11-8849-0022489FD80B,United States of America,
C8B788B2-21EB-ED11-8849-0022489FDE79,United States of America,
5A382DB2-21EB-ED11-8849-000D3A680C8A,United States of America,
FF192EA9-22EB-ED11-8849-000D3A680C8A,United States of America,
656DE4AD-22EB-ED11-8849-000D3ADA93B4,United States of America,
2E83EBAD-22EB-ED11-8849-0022489FD0DC,United States of America,
AA46F4AC-22EB-ED11-8848-0022489FDB1D,United States of America,
A11EEEB4-21EB-ED11-8849-0022489FDDEE,United States of America,
FBEDFDF5-F907-F111-8407-7CED8D7527B9,United States of America,
D3FA35A0-21EB-ED11-8849-000D3A680C8A,United States of America,
BAAEB0A3-22EB-ED11-8849-0022489FD093,United States of America,
F1FB35A0-21EB-ED11-8849-000D3A680C8A,United States of America,
